2024-02-14 14:32:00,323 INFO    StreamThr :827302 [internal.py:wandb_internal():86] W&B internal server running at pid: 827302, started at: 2024-02-14 14:32:00.321693
2024-02-14 14:32:00,329 DEBUG   HandlerThread:827302 [handler.py:handle_request():146] handle_request: status
2024-02-14 14:32:00,334 INFO    WriterThread:827302 [datastore.py:open_for_write():87] open: /home/matt/catkin_ws/src/wandb/run-20240214_143200-r5fznllc/run-r5fznllc.wandb
2024-02-14 14:32:00,341 DEBUG   SenderThread:827302 [sender.py:send():382] send: header
2024-02-14 14:32:00,341 DEBUG   SenderThread:827302 [sender.py:send():382] send: run
2024-02-14 14:32:00,725 INFO    SenderThread:827302 [dir_watcher.py:__init__():211] watching files in: /home/matt/catkin_ws/src/wandb/run-20240214_143200-r5fznllc/files
2024-02-14 14:32:00,725 INFO    SenderThread:827302 [sender.py:_start_run_threads():1136] run started: r5fznllc with start time 1707917520.319512
2024-02-14 14:32:00,743 DEBUG   HandlerThread:827302 [handler.py:handle_request():146] handle_request: check_version
2024-02-14 14:32:00,744 DEBUG   SenderThread:827302 [sender.py:send_request():409] send_request: check_version
2024-02-14 14:32:00,806 DEBUG   HandlerThread:827302 [handler.py:handle_request():146] handle_request: run_start
2024-02-14 14:32:00,853 DEBUG   HandlerThread:827302 [system_info.py:__init__():27] System info init
2024-02-14 14:32:00,853 DEBUG   HandlerThread:827302 [system_info.py:__init__():42] System info init done
2024-02-14 14:32:00,853 INFO    HandlerThread:827302 [system_monitor.py:start():194] Starting system monitor
2024-02-14 14:32:00,855 INFO    HandlerThread:827302 [system_monitor.py:probe():214] Collecting system info
2024-02-14 14:32:00,855 INFO    SystemMonitor:827302 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-14 14:32:00,858 INFO    SystemMonitor:827302 [interfaces.py:start():190] Started cpu monitoring
2024-02-14 14:32:00,860 INFO    SystemMonitor:827302 [interfaces.py:start():190] Started disk monitoring
2024-02-14 14:32:00,866 INFO    SystemMonitor:827302 [interfaces.py:start():190] Started gpu monitoring
2024-02-14 14:32:00,868 INFO    SystemMonitor:827302 [interfaces.py:start():190] Started memory monitoring
2024-02-14 14:32:00,872 INFO    SystemMonitor:827302 [interfaces.py:start():190] Started network monitoring
2024-02-14 14:32:00,954 DEBUG   HandlerThread:827302 [system_info.py:probe():151] Probing system
2024-02-14 14:32:00,959 DEBUG   HandlerThread:827302 [system_info.py:_probe_git():136] Probing git
2024-02-14 14:32:00,973 DEBUG   HandlerThread:827302 [system_info.py:_probe_git():144] Probing git done
2024-02-14 14:32:00,973 DEBUG   HandlerThread:827302 [system_info.py:probe():199] Probing system done
